File Name,Sold by,Details & special offers,Item price,Total price
9.json,Vitabath,Spend $65 for free delivery,LOW PRICE$20.55,$30.50
9.json,Walmart - Euro Pharm,Free delivery,$24.99,$26.49
9.json,eBay,"Free delivery by Wed, May 18",$24.99,$26.49
9.json,myBitti.com,"Free delivery by Tue, May 17",$26.99,$28.61
9.json,DorothyShop,"$7.13 delivery by Mon, May 30Free 30-day returns",$28.50,$39.90
9.json,MeekDepot,"Free delivery by Sun, May 22",$83.50,$83.50
9.json,Zabiva.com,Free deliveryApply SAVE22,5% OFF$52.60,$55.76
9.json,onnyxbeauty,"Free delivery by Mon, May 23",$77.93,$77.93
9.json,Oneway Beauty,"Free delivery by Sun, May 22",$72.37,$72.37
